Username,Input,Input Lang,Output,Output Lang,Output Style,Output Dialect,Idiomatic Slang
nesamani,"Bonjour, je voudrais réserver une table pour deux personnes ce soir.",French,"Hola, me gustaría reservar una mesa para dos personas esta noche.",Spanish,None (just translate),Default,False
nesamani,"Bonjour, je voudrais réserver une table pour deux personnes ce soir.",French,"Hello, I would like to book a table for two people tonight.",English,None (just translate),Default,False
nesamani,¿Podrías recomendarme un buen restaurante cerca de aquí?,Spanish,Could you recommend a good restaurant near here?,English,None (just translate),Default,False
nesamani,¿Podrías recomendarme un buen restaurante cerca de aquí?,French,¿Podrías recumendarme un restaurante Buen Cerca de Aquí?,Spanish,None (just translate),Default,False
nesamani,¿Podrías recomendarme un buen restaurante cerca de aquí?,French,¿Podrías recumendarme un restaurante Buen Cerca de Aquí?,Spanish,None (just translate),Default,False
nesamani,¿Podrías recomendarme un buen restaurante cerca de aquí?,French,¿Podrías Recumendarme a Buen Restaurant Cerca de Aquí?,English,None (just translate),Default,False
nesamani,¿Podrías recomendarme un buen restaurante cerca de aquí?,French,¿Podrías Recumendarme a Buen Restaurant Cerca de Aquí?,English,None (just translate),Default,False
nesamani,¿Podrías recomendarme un buen restaurante cerca de aquí?,Spanish,Could you recommend a good restaurant near here?,English,None (just translate),Default,False
nesamani,"Guten Morgen, können Sie mir den Weg zum Museum zeigen?",German,"Good morning, can you show me the way to the museum?",English,None (just translate),Default,False
nesamani,Ich hätte gerne einen Kaffee mit Milch und ohne Zucker.,German,I would like a coffee with milk and without sugar.,English,None (just translate),Default,False
nesamani,Ich hätte gerne einen Kaffee mit Milch und ohne Zucker.,German,I would like a coffee with milk and without sugar.,English,None (just translate),Default,False
nesamani,"Entschuldigung, ich habe meinen Schlüssel verloren.",German,"Sorry, I lost my key.",English,None (just translate),Default,False
nesamani,Hello,English,Ciao,Italian,None (just translate),Default,False
nesamani,Hello,Spanish,Hello,English,None (just translate),Default,False
nesamani,I am Kavin,German,I sur le cavino,French,None (just translate),Default,False
nesamani,I am Kavin,German,I am Kavin,German,None (just translate),Default,False
nesamani,I am Kavin,German,I sur le cavino,French,None (just translate),Default,False
nesamani,I sur le cavino,French,I on the Cavino,English,None (just translate),Default,False
nesamani,"My name is Kavin,=.",English,"Il mio nome è Kavin, =.",Italian,None (just translate),Default,False
nesamani,My name is Kavin.,English,Il mio nome è Kavin.,Italian,None (just translate),Default,False
nesamani,My name is Kavin.,English,Mi nombre es Kavin.,Spanish,None (just translate),Default,False
nesamani,My name is Kavin.,English,Je m'appelle Kavin.,French,None (just translate),Default,False
